model_name,seed,training_status,quantisation_status,training_dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_1,0.32323232323232326,0.6767676767676767,0.29292929292929293,0,12,99,32,29,0.21428571428571427,0.2857142857142857,0.46153846153846156,0.13333333333333333,0.21428571428571427,0.38461538461538464,0.375,0.15151515151515152,0.1717171717171717,0.12121212121212122,0.12121212121212122,0.1111111111111111,0.12121212121212122,0.1919191919191919,58,3,9
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_2,0.39,0.61,0.34,0,13,100,39,34,0.2857142857142857,0.4,0.35714285714285715,0.3333333333333333,0.4,0.21428571428571427,0.38461538461538464,0.12,0.18,0.16,0.11,0.11,0.11,0.17,53,5,8
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_1,0.3838383838383838,0.6161616161616161,0.36363636363636365,0,6,99,38,36,0.14285714285714285,0.42857142857142855,0.5384615384615384,0.13333333333333333,0.35714285714285715,0.5384615384615384,0.4375,0.12121212121212122,0.15151515151515152,0.13131313131313133,0.1414141414141414,0.1414141414141414,0.15151515151515152,0.16161616161616163,57,2,4
llama2,seed_21,trained,full_model,all_domains_20_samples,20,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_2,0.36,0.64,0.34,0,5,100,36,34,0.5,0.3333333333333333,0.5,0.26666666666666666,0.26666666666666666,0.21428571428571427,0.3076923076923077,0.14,0.16,0.13,0.16,0.14,0.13,0.13,61,2,3
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_1,0.3838383838383838,0.6161616161616161,0.35353535353535354,0,8,99,38,35,0.2857142857142857,0.42857142857142855,0.38461538461538464,0.3333333333333333,0.42857142857142855,0.38461538461538464,0.25,0.13131313131313133,0.15151515151515152,0.13131313131313133,0.13131313131313133,0.15151515151515152,0.13131313131313133,0.1717171717171717,56,3,5
llama2,seed_21,trained,full_model,all_domains_75_samples,75,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_2,0.38,0.62,0.36,0,6,100,38,36,0.5,0.3333333333333333,0.5714285714285714,0.4,0.3333333333333333,0.21428571428571427,0.15384615384615385,0.13,0.15,0.14,0.14,0.16,0.14,0.13,58,2,4
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_1,0.40404040404040403,0.595959595959596,0.37373737373737376,0,4,99,40,37,0.5,0.35714285714285715,0.3076923076923077,0.3333333333333333,0.42857142857142855,0.38461538461538464,0.3125,0.1414141414141414,0.15151515151515152,0.1414141414141414,0.13131313131313133,0.13131313131313133,0.1414141414141414,0.16161616161616163,58,3,1
llama2,seed_21,trained,full_model,all_domains_125_samples,125,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_2,0.46,0.54,0.42,0,7,100,46,42,0.7142857142857143,0.5333333333333333,0.5714285714285714,0.3333333333333333,0.26666666666666666,0.14285714285714285,0.38461538461538464,0.15,0.16,0.16,0.13,0.14,0.12,0.14,51,4,3
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_1,0.40404040404040403,0.595959595959596,0.3838383838383838,0,5,99,40,38,0.5,0.42857142857142855,0.23076923076923078,0.4,0.42857142857142855,0.3076923076923077,0.375,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.1414141414141414,0.16161616161616163,0.13131313131313133,0.15151515151515152,56,2,3
llama2,seed_21,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,json,test_set_2,0.39,0.61,0.36,0,6,100,39,36,0.35714285714285715,0.4666666666666667,0.5,0.13333333333333333,0.4,0.5,0.15384615384615385,0.15,0.15,0.17,0.12,0.15,0.13,0.13,58,3,3
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_1,0.29292929292929293,0.7070707070707071,0.26262626262626265,0,24,99,29,26,0.21428571428571427,0.7142857142857143,0.3076923076923077,0.2,0.21428571428571427,0.15384615384615385,0.0625,0.1717171717171717,0.1919191919191919,0.1414141414141414,0.10101010101010101,0.15151515151515152,0.16161616161616163,0.050505050505050504,49,3,21
llama2,seed_21,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_2,0.29,0.71,0.23,0,23,100,29,23,0.2857142857142857,0.4,0.2857142857142857,0.2,0.2,0.21428571428571427,0.0,0.13,0.22,0.19,0.09,0.14,0.15,0.05,54,6,17
llama2,seed_21,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,zero_shot,structured,answer_first,json,test_set_1,0.36363636363636365,0.6363636363636364,0.3434343434343434,0,8,99,36,34,0.21428571428571427,0.35714285714285715,0.38461538461538464,0.26666666666666666,0.35714285714285715,0.46153846153846156,0.375,0.1111111111111111,0.15151515151515152,0.1414141414141414,0.1414141414141414,0.1414141414141414,0.16161616161616163,0.15151515151515152,57,2,6
