model_name,seed,training_status,quantisation_status,training dataset,num_training_samples,num_training_domains,randomised_training_samples,generation_strategy,prompt_type,explanation_type,response_type,response_format,evaluation_dataset,label_accuracy,misclassification_rate,combined_accuracy,malformed_label,malformed_domain,total_predictions,correct_predictions,correct_label_and_domain,Constitutional_Law_accuracy,Contracts_accuracy,Criminal_Law_accuracy,Evidence_accuracy,Real_Property_accuracy,Torts_accuracy,Civil_Procedure_accuracy,Constitutional_Law_confidence,Contracts_confidence,Criminal_Law_confidence,Evidence_confidence,Real_Property_confidence,Torts_confidence,Civil_Procedure_confidence,correct_domain_wrong_label,correct_label_wrong_domain,both_wrong
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,greedy,few_shot,unstructured,answer_first,markdown,test_set_2,0.63,0.37,0.58,0,7,100,63,58,0.7142857142857143,0.26666666666666666,0.5,0.6,0.6,0.8571428571428571,0.5384615384615384,0.14,0.12,0.14,0.14,0.15,0.16,0.12,35,5,2
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_025,few_shot,unstructured,answer_first,markdown,test_set_2,0.59,0.41000000000000003,0.43,0,30,100,59,43,0.6428571428571429,0.2,0.2857142857142857,0.6,0.4,0.7142857142857143,0.15384615384615385,0.13,0.11,0.06,0.13,0.13,0.13,0.03,27,16,14
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_025,few_shot,structured,answer_first,markdown,test_set_2,0.61,0.39,0.4,0,42,100,61,40,0.7142857142857143,0.06666666666666667,0.2857142857142857,0.6,0.4,0.6428571428571429,0.07692307692307693,0.13,0.04,0.05,0.14,0.11,0.11,0.01,18,21,21
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_025,few_shot,structured,answer_first,markdown,test_set_1,0.494949494949495,0.505050505050505,0.32323232323232326,0,36,99,49,32,0.42857142857142855,0.07142857142857142,0.38461538461538464,0.5333333333333333,0.5,0.38461538461538464,0.0,0.1414141414141414,0.030303030303030304,0.09090909090909091,0.1414141414141414,0.12121212121212122,0.13131313131313133,0.010101010101010102,31,17,19
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,structured,answer_first,markdown,test_set_1,0.494949494949495,0.505050505050505,0.3333333333333333,0,34,99,49,33,0.42857142857142855,0.14285714285714285,0.3076923076923077,0.5333333333333333,0.42857142857142855,0.46153846153846156,0.0625,0.13131313131313133,0.06060606060606061,0.09090909090909091,0.1414141414141414,0.1111111111111111,0.13131313131313133,0.020202020202020204,32,16,18
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_06,few_shot,structured,answer_first,markdown,test_set_2,0.61,0.39,0.41,0,41,100,61,41,0.6428571428571429,0.0,0.35714285714285715,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.15384615384615385,0.14,0.02,0.07,0.14,0.1,0.12,0.02,18,20,21
llama3,seed_3991,trained,full_model,all_domains_1_samples,1,"[""all""]",True,temp_09,few_shot,structured,answer_first,markdown,test_set_1,0.45454545454545453,0.5454545454545454,0.2828282828282828,0,38,99,45,28,0.42857142857142855,0.21428571428571427,0.38461538461538464,0.4666666666666667,0.2857142857142857,0.23076923076923078,0.0,0.13131313131313133,0.06060606060606061,0.10101010101010101,0.1414141414141414,0.09090909090909091,0.12121212121212122,0.010101010101010102,33,17,21
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,greedy,few_shot,structured,answer_first,markdown,test_set_1,0.48484848484848486,0.5151515151515151,0.43434343434343436,0,8,99,48,43,0.5,0.35714285714285715,0.5384615384615384,0.4666666666666667,0.5714285714285714,0.3076923076923077,0.3125,0.1414141414141414,0.15151515151515152,0.13131313131313133,0.15151515151515152,0.1414141414141414,0.1414141414141414,0.13131313131313133,48,5,3
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,greedy,few_shot,structured,answer_first,markdown,test_set_2,0.61,0.39,0.55,0,9,100,61,55,0.7142857142857143,0.26666666666666666,0.42857142857142855,0.5333333333333333,0.5333333333333333,0.8571428571428571,0.5384615384615384,0.16,0.13,0.11,0.14,0.14,0.15,0.13,36,6,3
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_025,few_shot,structured,answer_first,markdown,test_set_1,0.47474747474747475,0.5252525252525253,0.42424242424242425,0,9,99,47,42,0.42857142857142855,0.35714285714285715,0.46153846153846156,0.4666666666666667,0.5714285714285714,0.3076923076923077,0.375,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.15151515151515152,0.1414141414141414,0.1414141414141414,0.13131313131313133,48,5,4
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_025,few_shot,unstructured,answer_first,markdown,test_set_2,0.65,0.35,0.6,0,7,100,65,60,0.7142857142857143,0.26666666666666666,0.5714285714285714,0.6666666666666666,0.5333333333333333,0.8571428571428571,0.6153846153846154,0.14,0.12,0.14,0.14,0.15,0.16,0.12,33,5,2
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,markdown,test_set_1,0.46464646464646464,0.5353535353535354,0.43434343434343436,0,4,99,46,43,0.42857142857142855,0.35714285714285715,0.5384615384615384,0.4666666666666667,0.5,0.38461538461538464,0.375,0.13131313131313133,0.15151515151515152,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.1414141414141414,0.15151515151515152,52,3,1
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,unstructured,answer_first,markdown,test_set_2,0.66,0.33999999999999997,0.62,0,7,100,66,62,0.7857142857142857,0.26666666666666666,0.5714285714285714,0.6,0.6,0.9285714285714286,0.6153846153846154,0.14,0.12,0.14,0.14,0.15,0.16,0.12,31,4,3
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_09,few_shot,unstructured,answer_first,markdown,test_set_1,0.47474747474747475,0.5252525252525253,0.45454545454545453,0,4,99,47,45,0.5,0.2857142857142857,0.6923076923076923,0.4,0.5714285714285714,0.46153846153846156,0.3125,0.13131313131313133,0.15151515151515152,0.1414141414141414,0.1414141414141414,0.13131313131313133,0.1414141414141414,0.15151515151515152,50,2,2
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,structured,answer_first,markdown,test_set_1,0.5050505050505051,0.4949494949494949,0.46464646464646464,0,7,99,50,46,0.5,0.35714285714285715,0.6153846153846154,0.5333333333333333,0.5,0.3076923076923077,0.4375,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.1414141414141414,0.13131313131313133,0.15151515151515152,0.1414141414141414,46,4,3
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_025,few_shot,structured,answer_first,markdown,test_set_2,0.6,0.4,0.51,0,13,100,60,51,0.6428571428571429,0.4,0.35714285714285715,0.5333333333333333,0.4666666666666667,0.7857142857142857,0.38461538461538464,0.17,0.14,0.09,0.14,0.14,0.15,0.11,36,9,4
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_06,few_shot,structured,answer_first,markdown,test_set_2,0.6,0.4,0.5,0,14,100,60,50,0.6428571428571429,0.4,0.35714285714285715,0.6,0.4666666666666667,0.7857142857142857,0.23076923076923078,0.17,0.14,0.09,0.14,0.14,0.16,0.1,36,10,4
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_09,few_shot,structured,answer_first,markdown,test_set_1,0.5252525252525253,0.4747474747474747,0.48484848484848486,0,7,99,52,48,0.5,0.35714285714285715,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.38461538461538464,0.4375,0.15151515151515152,0.15151515151515152,0.12121212121212122,0.1414141414141414,0.13131313131313133,0.15151515151515152,0.1414141414141414,44,4,3
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_09,few_shot,unstructured,answer_first,markdown,test_set_2,0.6,0.4,0.56,1,9,100,60,56,0.7857142857142857,0.3333333333333333,0.5,0.5333333333333333,0.4666666666666667,0.7857142857142857,0.5384615384615384,0.15,0.13,0.13,0.14,0.15,0.13,0.12,35,4,5
llama3,seed_3991,trained,full_model,all_domains_10_samples,10,"[""all""]",True,temp_09,few_shot,structured,answer_first,markdown,test_set_2,0.6,0.4,0.49,0,15,100,60,49,0.7142857142857143,0.4666666666666667,0.21428571428571427,0.5333333333333333,0.4,0.7857142857142857,0.3076923076923077,0.17,0.15,0.08,0.14,0.14,0.17,0.1,36,11,4
llama2,seed_206,trained,full_model,all_domains_all_samples,all,"[""all""]",True,temp_06,few_shot,structured,fact_first,markdown,test_set_2,0.29,0.71,0.25,0,9,100,29,25,0.35714285714285715,0.3333333333333333,0.14285714285714285,0.26666666666666666,0.13333333333333333,0.21428571428571427,0.3076923076923077,0.13,0.19,0.15,0.14,0.09,0.13,0.13,66,4,5
